name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Han Jaehyang,Hokkaido University ,Japan ,Economic History,43.5393257141113,142.437515258789
Han Nam-Jae,Kyungpook National University ,Korea ,Sociology ,32.9052963256836,-117.243560791016
Han Joon,Yonsei University ,Korea ,Sociology ,32.8453598022461,-96.796989440918
Han Chunping,Harvard University,China ,Sociology ,42.3734741210938,-71.1179580688477
Han Li,Harvard University,China ,Economics ,42.3734741210938,-71.1179580688477
Han Seunghyun,Harvard University,Korea ,History ,42.3734741210938,-71.1179580688477
Han Linhe,Peking University ,China ,Philosophy,39.9897232055664,116.305274963379
Han Seung-mi,Yonsei University ,Korea ,Anthropology,32.8453598022461,-96.796989440918
Hang Xing,Fudan University,China ,Economics ,31.2988891601562,121.499168395996
Hao Chang-chi,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Hara Minoru,University of Tokyo ,Japan ,Sanskrit,35.7133331298828,139.762222290039
Hara Masayuki,Hiroshima University,Japan ,International Relations ,34.3790397644043,132.469787597656
Hara Masayuki,,Japan ,,,
Haraguchi Saburo,Kyushu University ,Japan ,English and American  Literature,33.6278381347656,130.422973632812
Hasegawa Kinsuke,University of Tokyo ,Japan ,Linguistics ,35.7133331298828,139.762222290039
Hashiguchi Minoru,University of Tokyo ,Japan ,English Literature,35.7133331298828,139.762222290039
Hashimoto Hisae,Hokkaido University ,Japan ,English Literature,43.5393257141113,142.437515258789
Hashimoto  Satoru,Harvard University,Japan ,Comparative Literature,42.3734741210938,-71.1179580688477
Hata Hiroyuki,Hiroshima University,Japan ,Constitutional Law,34.3790397644043,132.469787597656
Hatano Yoshihiro,Nagoya University ,Japan ,History ,35.1506500244141,136.919036865234
,,,,,
Hatori Kazuei,Seikei University ,Japan ,Japanese Literature ,32.8453598022461,-96.796989440918
Hattori Masaaki,Kyoto University,Japan ,Indian Philosophy ,35.0262107849121,135.780838012695
Hattori Tamio,Institute of Developing Economics,Japan ,Sociology ,48.8224449157715,2.33122205734253
Hayashi Yoshuteru,Tohoku University ,Japan ,Religious Studies,38.9000015258789,140.682998657227
Hayashi Takehisa,University of Tokyo ,Japan ,Economics ,35.7133331298828,139.762222290039
Hayashi Yoshikoto,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
He Bixiao,Sun Yat-sen University,China ,Journalism,14.3601770401001,-14.4676847457886
He Junzhi,Fudan University,China ,Political Science ,31.2988891601562,121.499168395996
He Wenkai,Hong Kong University of Science and Technology,Hong Kong ,Comparative Politics,22.3374996185303,114.263000488281
He Pengyu,Harvard University,China ,Sociology ,42.3734741210938,-71.1179580688477
He Huanhuan,Chinese Academy of Social Sciences,China ,Indian Buddhism and Philosophy,34.0215530395508,-118.283737182617
He Qiulei,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
He Qi,Yunnan University,China ,Anthropology,24.9724082946777,101.487899780273
He Xu,Fudan University,China ,Sociology ,31.2988891601562,121.499168395996
He Guang-hu,Chinese Academy of Social Sciences,China ,Religious Studies,34.0215530395508,-118.283737182617
He Dezhang,Wuhan University,China ,Chinese History ,30.5408306121826,114.361106872559
He Hongfei,Wuhan University,China ,History ,30.5408306121826,114.361106872559
He Jun,Zhejiang University ,China ,Philosophy,30.2636108398438,120.120826721191
He Fan,Chinese Academy of Social Sciences,China ,World Economy ,34.0215530395508,-118.283737182617
He Yuefu,Sun Yat-sen University,China ,History ,14.3601770401001,-14.4676847457886
Heilmann Sebastian,University of Trier,Germany ,Political Economy,49.7457504272461,6.68844985961914
Heng Piphal,University of Hawaii at Manoa,,Anthropology,21.2982311248779,-157.817611694336
Hino Tatsuo,Kyoto University,Japan ,Japanese Literature ,35.0262107849121,135.780838012695
Hirai Masao,University of Tokyo ,Japan ,English Literature,35.7133331298828,139.762222290039
Hiraishi Kenji,Nagoya University ,Japan ,Psychology,35.1506500244141,136.919036865234
Hiramatsu Yoshiro,Nagoya University ,Japan ,Legal History,35.1506500244141,136.919036865234
Hiromatsu Takeshi,University of Tokyo ,Japan ,Economics ,35.7133331298828,139.762222290039
Hirota Masaki,Osaka University,Japan ,Japanese Literature ,34.8191680908203,135.526672363281
Hirunuma Toshio,Kwansei Gakuin University ,Japan ,Classics,32.8453598022461,-96.796989440918
Ho Sik Ying,University of Hong Kong ,Hong Kong ,Social Work,22.2841663360596,114.13777923584
Ho Ting-jui,Florida State University,Taiwan,Anthropology,30.4423007965088,-84.2986755371094
Ho Louise,Chinese University of Hong Kong ,Hong Kong ,English Literature,22.2841663360596,114.13777923584
Ho Dah-an,Academia Sinica ,Taiwan,Linguistics ,40.5150184631348,20.8693809509277
Ho Koon Piu,University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Ho Kong Chong,University of Chicago,Singapore ,Sociology ,41.7895355224609,-87.5988311767578
Hoang Vu Cuong,Vietnam Academy of Social Sciences,Vietnam ,Economics ,16.1676921844482,107.839050292969
Hoang Thi Thuc,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,Library Science,10.7782402038574,106.703239440918
Hoang To Nga,"University of Minnesota, Twin Cities",Vietnam ,Psychology,44.9975662231445,-93.1847381591797
Hoang Thu Cuc,Australian National University,,Sociology ,-35.2778091430664,149.126434326172
Hoang Xuan Hoa,Vietnam National University-Hanoi ,Vietnam ,English Education ,16.1676921844482,107.839050292969
Hojoh Fumio,Tokyo Woman's Christian University,Japan ,English Literature,35.6899261474609,139.691757202148
Hon Xandong,,China ,,,
Honda Itsuo,Kyushu Institute of Technology,Japan ,Political Science ,32.6501388549805,130.851440429688
Hong Xiaonan,,China ,Philosophy,,
Hong Doo-Seung,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Hong Fan,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Horigome Yozo,University of Tokyo ,Japan ,Medieval European History ,35.7133331298828,139.762222290039
Hosoe Moriki,Kyushu University ,Japan ,Economics ,33.6278381347656,130.422973632812
Hou Li,Tongji University,China ,Urban Studies,31.2826995849609,121.50659942627
Hou Xudong,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
,,,,,
Hou Chien,National Taiwan University,Taiwan,English Literature,23.7489929199219,120.971282958984
Hou Yangfang,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Hsieh Shih-Chung,National Taiwan University,Taiwan,Anthropology,23.7489929199219,120.971282958984
Hsing Mo-huan,Academia Sinica ,Taiwan,Economic Development,40.5150184631348,20.8693809509277
Hsing I-tien,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Hsu Hui-Lin,National Taiwan University,Taiwan,Literature,23.7489929199219,120.971282958984
Hsu Jimmy Chia-Shin,Academia Sinica ,Taiwan,Law ,40.5150184631348,20.8693809509277
Hsu Cho-yun,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Hsu Chia-ming,Academia Sinica ,Taiwan,Social Anthropology ,40.5150184631348,20.8693809509277
Hsu Hong,National Taiwan University,Taiwan,History ,23.7489929199219,120.971282958984
Hsueh Tien-tung,Chinese University of Hong Kong ,Hong Kong ,Economics ,22.2841663360596,114.13777923584
Hu Chirui,Peking University ,China ,Linguistics ,39.9897232055664,116.305274963379
Hu Suhua,Minzu University of China,China ,Linguistics ,36.5631141662598,103.735809326172
Hu Zongze,Harvard University,China ,Social Anthropology ,42.3734741210938,-71.1179580688477
Hu Jixun,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Hu Wei,Fudan University,China ,Political Science ,31.2988891601562,121.499168395996
Hu Suyun,Shanghai Academy of Social Sciences ,China ,Education ,31.2026710510254,121.511947631836
Hu Wei,Dartmouth,,Comparative Literature,44.6740417480469,-63.5753517150879
Hu Biliang,Chinese Academy of Social Sciences,China ,Economics ,34.0215530395508,-118.283737182617
Hua Tao,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Huan Qingzhi,Shandong University ,China ,Political Science ,36.4687118530273,118.517127990723
Huang Min-chih,National Cheng Kung University,Taiwan,History ,34.7472496032715,113.624931335449
Huang Ying-kuei,Academia Sinica ,Taiwan,Social Anthropology ,40.5150184631348,20.8693809509277
Huang Yong-min,Fudan University,China ,English ,31.2988891601562,121.499168395996
Huang Jie,University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Huang Yinghong,Sun Yat-sen University,China ,Political Science ,14.3601770401001,-14.4676847457886
Huang Yufu,Chinese Academy of Social Sciences,China ,English ,34.0215530395508,-118.283737182617
Huang Fu-san,National Taiwan University,Taiwan,History ,23.7489929199219,120.971282958984
Huang Xiaofeng,Central Academy of Fine Arts,China ,Art History ,39.9556427001953,-75.1633911132812
Huang Yijun,Minzu University of China,China ,Archaeology ,36.5631141662598,103.735809326172
Huang Youfu,Minzu University of China,China ,History ,36.5631141662598,103.735809326172
Huang Yong,Fudan University,China ,Philosophy,31.2988891601562,121.499168395996
Huang K'uan-chung,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Huang Mei,Liaoning Academy of Social Sciences ,China ,Sociology ,41.087890625,122.550064086914
Huang Sujuan,Guangdong University of Finance and Economics,China ,Business History,23.2023944854736,113.385986328125
Huang Jie,Wuhan University,China ,History ,30.5408306121826,114.361106872559
Huang Po-chi,National Chengchi University,Taiwan,Religious Studies,46.9460830688477,7.43722105026245
Huang Min-Hsiung,Academia Sinica ,Taiwan,Sociology ,40.5150184631348,20.8693809509277
Huang Xingtao,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Huang C. Julia,National Tsing Hua University,Taiwan,Anthropology,34.5125885009766,109.771896362305
Huang Dingru,,China ,Modern Chinese Literature,,
Huang Chungao,Peking University ,China ,History ,39.9897232055664,116.305274963379
Huang Shirlena Swee Lian,University of Toronto ,Singapore ,Geography ,43.6486892700195,-79.3854370117188
Huang Hsuan-ying,Taiwan National  University,,History of Science,23.7489929199219,120.971282958984
Huang Jianwu,,,Law ,,
Huang Wansheng,,China ,,,
Huang Rong,Harvard University,China ,Religious Studies,42.3734741210938,-71.1179580688477
Huang Chin-mao,National Taiwan University,Taiwan,Economics ,23.7489929199219,120.971282958984
Huang Ching-Chia,,Taiwan,Chinese History ,,
Huang Hsiao-ping,National Taiwan Normal University ,Taiwan,Chinese History ,23.7489929199219,120.971282958984
,,,,,
Huh Nam-Jin,Seoul National University ,Korea ,Philosophy,37.4599990844727,126.949996948242
Hui Mei Kei (Maggie),Chinese University of Hong Kong ,Hong Kong ,Architecture,22.2841663360596,114.13777923584
Huie Jennie,University of Toronto ,Canada,English Literature,43.6486892700195,-79.3854370117188
Hung Lien-te,National University of Singapore,Singapore ,Political Science ,1.29555594921112,103.776664733887
Hung Chin-fu,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Hung Lien-te,,,Political Science ,,
Hung Kuang-chi,Taiwan National  University,,History of Science,23.7489929199219,120.971282958984
Hur Yoonjin,Sogang University ,Korea ,Literature,37.5496406555176,126.924858093262
Huynh Thi Ngoc Tuyet,Southern Institute of Social Sciences,Vietnam ,Community Development,29.9423809051514,-90.118896484375
Huynh Thi Trang,Cantho University,Vietnam ,Library Science,10.0365295410156,105.787353515625
Huynh Thi Can,Hue University,Vietnam ,Library Science,16.4666481018066,107.58470916748
Ichiko Chuzo,Ochanomizu University ,Japan ,Modern Chinese History,35.6983299255371,139.764175415039
Ido Misato ,University of Tokyo ,Japan ,Art History ,35.7133331298828,139.762222290039
Iguchi Haruo,Nagoya University ,Japan ,,35.1506500244141,136.919036865234
Ihara Shoren,Kyushu University ,Japan ,History of Buddhism,33.6278381347656,130.422973632812
Ikoma Natsumi,International Christian University,Japan ,Literature,32.7077140808105,-97.3652877807617
Ikuta Masaki,Keio University ,Japan ,Sociology ,35.6491661071777,139.742782592773
Im So Jeong,Harvard University,Korea ,Political Science ,42.3734741210938,-71.1179580688477
Imaizumi Yoko,Tsukuba University,Japan ,English Literature,36.0349006652832,140.080154418945
Imaizumi Yoko,Tsukuba University,Japan ,English ,36.0349006652832,140.080154418945
Imamura Masao,National University of Singapore,Japan ,Geography ,1.29555594921112,103.776664733887
Inoue Masaji,Kyushu University ,Japan ,Law ,33.6278381347656,130.422973632812
Inoue Tadashi,University of Tokyo ,Japan ,Classical Philosophy,35.7133331298828,139.762222290039
Inoue Fumiko,Kyoritsu Women's University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Intamool Sura,Chiang Mai University,Thailand,Cultural Studies,18.7670001983643,99.0261611938477
Iokibe Makoto,Keio University ,Japan ,History ,35.6491661071777,139.742782592773
Ishida Makoto,Nagoya University ,Japan ,Law ,35.1506500244141,136.919036865234
Ishii Tsuyoshi,University of Tokyo ,Japan ,Philosophy,35.7133331298828,139.762222290039
Ishikawa Tadao,Keio University ,Japan ,History ,35.6491661071777,139.742782592773
Isobe Takashi,Nagoya University ,Japan ,History of Political Thought,35.1506500244141,136.919036865234
Itagaki Ryuta,Doshisha University ,Japan ,Sociology ,32.8453598022461,-96.796989440918
Ito Takao,Kyoto University,Japan ,Law ,35.0262107849121,135.780838012695
Ito Noriya,University of Tokyo ,Japan ,Aesthetics,35.7133331298828,139.762222290039
Ito Mikiharu,National Museum of Ethnology,Japan ,Social Anthropology ,59.3284797668457,18.0785007476807
Ito Makoto,Hitotsubashi University ,Japan ,Law ,32.8453598022461,-96.796989440918
Ito Yukio,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Iwami Hiroshi,Kobe University ,Japan ,Chinese History ,34.7038803100586,135.222427368164
Iwata Gyoichi,Keio University ,Japan ,Economics ,35.6491661071777,139.742782592773
Jang Gyung-Ryul,Seoul National University ,Korea ,English ,37.4599990844727,126.949996948242
Jang Kyooeun,Harvard University,Korea ,Sociology ,42.3734741210938,-71.1179580688477
Jeon Kyu-Tae,Yonsei University ,Korea ,Korean Literature ,32.8453598022461,-96.796989440918
Jeon Jae Ho,Sogang University ,Korea ,Political Science ,37.5496406555176,126.924858093262
Jeon Bong Hee,Seoul National University ,Korea ,Architecture,37.4599990844727,126.949996948242
Jeong Sangjun,Seoul National University ,Korea ,English ,37.4599990844727,126.949996948242
Jeong Jong-Ho,Seoul National University ,Korea ,Anthropology,37.4599990844727,126.949996948242
Jha Madhurendra,Doon University,India ,Chinese Studies,30.2728652954102,78.0372695922852
Ji Mengmeng,Fudan University,China ,Comparative Literature,31.2988891601562,121.499168395996
Jia Jianfei,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Jia Yan,Harvard University,China ,Art History ,42.3734741210938,-71.1179580688477
Jia Wenjuan,Sun Yat-sen University,China ,Sociology ,14.3601770401001,-14.4676847457886
,,,,,
Jiang Jin,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Jiang Sheng,Sichuan University,China ,Taoism,30.6250896453857,102.697280883789
Jiang Bo,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Jiang Tong,Capital Normal University,China ,Comparative Literature,48.5583686828613,-123.688278198242
Jiang Yuan,Sichuan University,China ,Communication,30.6250896453857,102.697280883789
Jiao Tianlong,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Jiao Nanfeng,Northwest University,China ,Archaeology ,30.4274597167969,-86.6377563476562
Jimbo Fumio,Nagoya University ,Japan ,Law ,35.1506500244141,136.919036865234
Jin Guiyun,Shandong University ,China ,Archaeology ,36.4687118530273,118.517127990723
Jin Dukyu,,,Political Science ,,
Jin Xun,,,Philosophy,,
Jin Jungwon,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Jing Haifeng,,China ,,,
Jing Jun,,China ,Sociology ,,
Jinno Takashi,Kyoto University,Japan ,Medieval History,35.0262107849121,135.780838012695
Jo Yoong-hee,Academy of Korean Studies ,Korea ,Literature,42.7923316955566,-77.3426208496094
Jor George C.K.,Chinese University of Hong Kong ,Hong Kong ,Education ,22.2841663360596,114.13777923584
Joshi Shivaram,University of Poona,India ,Sanskrit,18.5536403656006,73.918342590332
Jou Kyung-chul,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Ju Min-sook,Sookinyung Women's University,Korea ,Art ,32.8453598022461,-96.796989440918
Ju Deyuan,Palace Museum,China ,History of Chinese Documents,1.29816102981567,103.850021362305
Jung Byung-Sul,Seoul National University ,Korea ,Literature,37.4599990844727,126.949996948242
Jung Keun-sik,Chonnam National University ,Korea ,Sociology ,34.8679008483887,126.990997314453
Jung Min,Hanyang University,Korea ,Korean Literature ,36.755867,126.30135
Jung Geung-Sik,Seoul National University ,Korea ,Law ,37.4599990844727,126.949996948242
K'o Ch'ing-Ming,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
K'o Ch'ing-Ming,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Kabashima Ikuo,Harvard University,Japan ,Economics ,42.3734741210938,-71.1179580688477
Kage Rieko,Harvard University,Japan ,Political Science ,42.3734741210938,-71.1179580688477
Kajita Masami,Nagoya University ,Japan ,Psychology,35.1506500244141,136.919036865234
Kamata Masami,Doshisha University ,Japan ,Law ,32.8453598022461,-96.796989440918
Kamimura Yasuhiro,Nagoya University ,Japan ,Sociology ,35.1506500244141,136.919036865234
Kamio Mitsuo,Nagoya University ,Japan ,English and American  Literature,35.1506500244141,136.919036865234
Kamio Akio,Tsukuba University,Japan ,Psychology,36.0349006652832,140.080154418945
Kanai Yoshihiko,Hitotsubashi University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Kanayama Masanobu,Doshisha University ,Japan ,Civil Law ,32.8453598022461,-96.796989440918
Kang Hosun,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Kang Beom-mo,Korea University,Korea ,Linguistics ,36.4511566162109,127.861145019531
Kang Byung-doo,Kukmin College,Korea ,Constitutional Law,39.9319686889648,-83.8137817382812
Kang Jung-In,Sogang University ,Korea ,Political Science ,37.5496406555176,126.924858093262
Kano Hideo,Tokyo Metropolitan University ,Japan ,English Literature,35.6899261474609,139.691757202148
Kao Cheng-shu,,Taiwan,,,
Kao Mayching,Chinese University of Hong Kong ,Hong Kong ,Art History ,22.2841663360596,114.13777923584
Kapur Basant K.,National University of Singapore,Singapore ,Economics ,1.29555594921112,103.776664733887
Karasawa Tsutomu,Nagoya University ,Japan ,American Literature ,35.1506500244141,136.919036865234
Karasawa Tsutomu,Nagoya University ,Japan ,Literature,35.1506500244141,136.919036865234
Karashima Noboru,University of Tokyo ,Japan ,History ,35.7133331298828,139.762222290039
Kato Taizo,Waseda University ,Japan ,Sociology ,35.7092018127441,139.719329833984
Kato Sadamichi,Nagoya University ,Japan ,English Literature,35.1506500244141,136.919036865234
Kato Masanobu,Nagoya University ,Japan ,Law ,35.1506500244141,136.919036865234
,,,,,
Kato Taizo,Waseda University ,Japan ,Sociology ,35.7092018127441,139.719329833984
Kato Sadamichi,Nagoya University ,Japan ,English Literature,35.1506500244141,136.919036865234
Katsuyama Takayuki,Doshisha University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Kawai Michio,Hiroshima University,Japan ,English Philology ,34.3790397644043,132.469787597656
Kawai Kozo,Kyoto University,Japan ,Comparative Literature,35.0262107849121,135.780838012695
Kawakami Seisaku,Kyushu University ,Japan ,English Linguistics ,33.6278381347656,130.422973632812
Kawamoto Reiko,Hitotsubashi University ,Japan ,Literature,32.8453598022461,-96.796989440918
Kawamura Daizan,Kwansei Gakuin University ,Japan ,History ,32.8453598022461,-96.796989440918
Kawamura Joichiro,Hitotsubashi University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Kawanami Yoichi,Kyushu University ,Japan ,Economics ,33.6278381347656,130.422973632812
Kawarabata Masayuki,Kumamoto University ,Japan ,English Literature,32.7943916320801,130.711456298828
Kawase Ken'ichiro,International Christian University,Japan ,Education ,32.7077140808105,-97.3652877807617
Kawata Tadashi,Sophia University ,Japan ,International Relations ,35.8216705322266,-79.8569793701172
Kawata Tadashi,Sophia University ,Japan ,Economics ,35.8216705322266,-79.8569793701172
Kawatake Toshio,Waseda University ,Japan ,Theatre Arts,35.7092018127441,139.719329833984
Kazuhiro Takanashi,Keio University ,Japan ,,35.6491661071777,139.742782592773
Ke Jian,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Keel Hyun-mo,Sogang University ,Korea ,History ,37.5496406555176,126.924858093262
Keo Piseth,National University of Singapore,Cambodia,Environmental Management,1.29555594921112,103.776664733887
Kesavan Kunnavakkam Vinjamur,Jawaharlal Nehru University ,India ,Japanese Studies,28.5420894622803,77.1672515869141
Khohchahar Erdenchuluu,Kyoto University,Japan ,Legal History,35.0262107849121,135.780838012695
Kido Takeshi,University of Tokyo ,Japan ,European History,35.7133331298828,139.762222290039
Kieu Van Hot,National Library of Vietnam - Hanoi,Vietnam ,Library Science,21.0289192199707,105.854621887207
Kil Hyun-Ik,Sogang University ,Korea ,History ,37.5496406555176,126.924858093262
Kim Min-su,Korea University,Korea ,Korean Linguistics,36.4511566162109,127.861145019531
Kim Han Sang ,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Kim Chung-Kyun,Sungkyunkwan University ,Korea ,International Law ,32.8453598022461,-96.796989440918
Kim Young-ha,Kyungpook National University ,Korea ,Archaeology ,32.9052963256836,-117.243560791016
Kim Soojin,Seoul National University ,Korea ,Art History ,37.4599990844727,126.949996948242
Kim Yun-Hwan,Korea University,Korea ,Economics ,36.4511566162109,127.861145019531
Kim Hyon-Sob,Korea University,Korea ,Architecture,36.4511566162109,127.861145019531
Kim Pyong-Ik,Sungkyunkwan University ,Korea ,English Literature,32.8453598022461,-96.796989440918
Kim Tschol-su,Seoul National University ,Korea ,Constitutional Law,37.4599990844727,126.949996948242
Kim Wanjin,Seoul National University ,Korea ,Korean Linguistics,37.4599990844727,126.949996948242
Kim Jin-Kyung,Sungkyunkwan University ,Korea ,History ,32.8453598022461,-96.796989440918
Kim Hyonjin,Seoul National University ,Korea ,English Literature,37.4599990844727,126.949996948242
Kim Chae-yun,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Kim Yolkyo,Sogang University ,Korea ,Folklore,37.5496406555176,126.924858093262
Kim Sung-ho,Yonsei University ,Korea ,Political Science ,32.8453598022461,-96.796989440918
Kim Yomja,Ewha Womans University,Korea ,Chinese History ,32.8453598022461,-96.796989440918
Kim Young-Mo,Chung-Ang University,Korea ,Sociology ,35.856219,126.988803
Kim Joon Hwan,Ewha Womans University,Korea ,English Literature,32.8453598022461,-96.796989440918
Kim Jungmai,Ewha Womans University,Korea ,English Literature,32.8453598022461,-96.796989440918
Kim Byung-Cook,Seoul National University ,Korea ,Korean Literature ,37.4599990844727,126.949996948242
Kim Hyung-Kook,Sungkyunkwan University ,Korea ,Literature,32.8453598022461,-96.796989440918
Kim Bo-mi,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Kim Jung-Bae,Korea University,Korea ,History ,36.4511566162109,127.861145019531
Kim Seokwon,Yonsei University ,Korea ,Political Science ,32.8453598022461,-96.796989440918
Kim Chul-soo,Kyungpook National University ,Korea ,English ,32.9052963256836,-117.243560791016
Kim Chong Ja,Seoul National University ,Korea ,Music ,37.4599990844727,126.949996948242
,,,,,
Kim Jung-Bae,Korea University,Korea ,History ,36.4511566162109,127.861145019531
Kim Seokwon,Yonsei University ,Korea ,Political Science ,32.8453598022461,-96.796989440918
Kim Chul-soo,Kyungpook National University ,Korea ,English ,32.9052963256836,-117.243560791016
Kim Chong Ja,Seoul National University ,Korea ,Music ,37.4599990844727,126.949996948242
Kim Sungkyoon,Yonsei University ,Korea ,English Literature,32.8453598022461,-96.796989440918
Kim Kapjoo,,,,,
Kim Sun Ju,Academy of Korean Studies ,Korea ,Cultural Anthropology ,42.7923316955566,-77.3426208496094
Kim Jung-Oh,Seoul National University ,Korea ,Psychology,37.4599990844727,126.949996948242
Kim Young-Joo,,,Linguistics ,,
Kim Sang Joon,Sogang University ,Korea ,Political Science ,37.5496406555176,126.924858093262
Kim Hyai Kyoung,,,,,
Kim Wook Dong,Sogang University ,Korea ,American Literature ,37.5496406555176,126.924858093262
Kim Hye-kyung,,Korea ,,,
Kim Kwang-ok,Seoul National University ,Korea ,Anthropology,37.4599990844727,126.949996948242
Kim Suk-Joon,,Korea ,,,
Kim In-geol,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Kim Yoon-Sang,,Korea ,,,
Kim Young-hwa,Kyungpook National University ,Korea ,Social Policy ,32.9052963256836,-117.243560791016
Kim Jang Hwan,Yonsei University ,Korea ,Literature,32.8453598022461,-96.796989440918
Kim Chang-Rok,Pusan National University ,Korea ,Legal History,35.1779289245605,129.078475952148
Kim Myunggyo,Harvard University,Korea ,Political Science ,42.3734741210938,-71.1179580688477
Kim Jun Young,Sungkyunkwan University ,Korea ,Economics ,32.8453598022461,-96.796989440918
Kim Jean-young,Yonsei University ,Korea ,Russian Literature,32.8453598022461,-96.796989440918
Kim Sa-yeup,Kyemyung College,Korea ,Korean Literature ,39.9319686889648,-83.8137817382812
Kim Dong-taek,Sogang University ,Korea ,Political Science ,37.5496406555176,126.924858093262
Kim Jun-yop,Korea University,Korea ,Modern Chinese History,36.4511566162109,127.861145019531
Kim Hyung-Joon,Harvard University,Korea ,History ,42.3734741210938,-71.1179580688477
Kim Young-Min,Yonsei University ,Korea ,Korean Literature ,32.8453598022461,-96.796989440918
Kim Bang-han,Seoul National University ,Korea ,Linguistics ,37.4599990844727,126.949996948242
Kim Il-Young,Sungkyunkwan University ,Korea ,Political Science ,32.8453598022461,-96.796989440918
Kim Jinhee,Yonsei University ,Korea ,Literature,32.8453598022461,-96.796989440918
Kimiya Tadashi,University of Tokyo ,Japan ,Political Science ,35.7133331298828,139.762222290039
Kimura Toshiaki,Tohoku University ,Japan ,Religious Studies,38.9000015258789,140.682998657227
Kimura Toshio,Doshisha University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Kinoshita Norita,Aoyama Gakuin University,Japan ,History of Education,35.6720008850098,139.723007202148
Kishibe Shigeo,Teikyo University ,Japan ,Asian History ,32.8453598022461,-96.796989440918
Kitagaki Muneharu,Doshisha University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Kobayashi Masayoshi,Waseda University ,Japan ,Chinese Philosophy,35.7092018127441,139.719329833984
Kobayashi Ryosuke,Toyo Bunko,Japan ,History ,35.7312812805176,139.748565673828
Koda Saburo,Aoyama Gakuin Women's College,Japan ,Education ,35.6720008850098,139.723007202148
Kogachi Ryuichi,Kyoto University,Japan ,Philosophy,35.0262107849121,135.780838012695
Koguchi Hikota,Waseda University ,Japan ,Law ,35.7092018127441,139.719329833984
Koh Soon-duk,Ewha Womans University,Korea ,Psychology,32.8453598022461,-96.796989440918
Koizumi Masatoshi ,Tohoku University ,Japan ,Linguistics ,38.9000015258789,140.682998657227
Kojima Tsuyoshi,,Japan ,,,
Kojima Hideo,Nagoya University ,Japan ,Psychology,35.1506500244141,136.919036865234
Komatsu Motoya,Akita University,Japan ,English Literature,39.7423095703125,140.075103759766
Kondo Fumio,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Kong Xiangji,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Kong Su-ki,Harvard University,Korea ,Sociology ,42.3734741210938,-71.1179580688477
,,,,,
Kongcharoen Nuthamon,Chiang Mai University,Thailand,Law ,18.7670001983643,99.0261611938477
Koo Jeong Woo,Sungkyunkwan University ,Korea ,Sociology ,32.8453598022461,-96.796989440918
Koo Min Gyo,Seoul National University ,Korea ,Political Science ,37.4599990844727,126.949996948242
Koo Bumjin,,Korea ,History ,,
Kosugi Ryoko,Tohoku University ,Japan ,Sociology ,38.9000015258789,140.682998657227
